Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,83_DM,05BR026,186778380,186778380,131,24598914291,24598914291,24346907998,24346907998,23840134473,23840134473,36382243904,36382243904
Normal,83_DN,05BR026,184648032,184648032,136,25275784564,25275784564,24954640103,24954640103,24260207584,24260207584,37233000845,37233000845
Tumor,91_DM,11BR011,229996282,229996282,136,31386998609,31386998609,31061063572,31061063572,30374053044,30374053044,46398024826,46398024826
Normal,91_DN,11BR011,208588392,208588392,136,28552357396,28552357396,28250721051,28250721051,27613891856,27613891856,42194915086,42194915086
Tumor,92_DM,11BR012,219107306,219107306,134,29464937093,29464937093,28979708337,28979708337,28142443011,28142443011,43271557369,43271557369
Normal,92_DN,11BR012,184025296,184025296,136,25089049850,25089049850,24818549506,24818549506,24244867047,24244867047,37065117626,37065117626
Tumor,93_DM,11BR013,269587424,269587424,142,38521125975,38521125975,38082884795,38082884795,37246302852,37246302852,56908287344,56908287344
Normal,93_DN,11BR013,187278160,187278160,134,25111094738,25111094738,24692513965,24692513965,23995742972,23995742972,36882880705,36882880705
Tumor,94_DM,11BR014,181878084,181878084,136,24903439206,24903439206,23968667925,23968667925,22522377988,22522377988,35661025332,35661025332
Normal,94_DN,11BR014,261877056,261877056,140,36737690278,36737690278,36335651720,36335651720,35586437852,35586437852,54308241786,54308241786
Tumor,95_DM,11BR015,192798008,192798008,134,25890341990,25890341990,25550785575,25550785575,24840018203,24840018203,38128096530,35519775701
Normal,95_DN,11BR015,181395814,181395814,136,24754437261,24754437261,23862398116,23862398116,22520515355,22520515355,35519775701,38128096530
Tumor,96_DM,11BR016,196384450,196384450,133,26139823642,26139823642,25811671948,25811671948,25201716651,25201716651,38563452362,38563452362
Normal,96_DN,11BR016,239631588,239631588,140,33577035730,33577035730,33240329337,33240329337,32619584993,32619584993,49705195894,49705195894
Tumor,97_DM,11BR017,187948102,187948102,137,25794035041,25794035041,25536801326,25536801326,24975445555,24975445555,38143162871,38143162871
Normal,97_DN,11BR017,208695340,208695340,136,28434925371,28434925371,28144190171,28144190171,27573393640,27573393640,42064154404,42064154404
Tumor,98_DM,11BR018,246845210,246845210,136,33631730994,33631730994,33310479956,33310479956,32611707229,32611707229,49763570073,49763570073
Normal,98_DN,11BR018,191438248,191438248,136,26162561502,26162561502,25898881531,25898881531,25307717007,25307717007,38673294411,38673294411
Tumor,99_DM,11BR019,215050100,215050100,136,29302249587,29302249587,29024628820,29024628820,28431207261,28431207261,43367868158,43367868158
Normal,99_DN,11BR019,243650044,243650044,134,32801627365,32801627365,32493144349,32493144349,31837953774,31837953774,48553042021,48553042021
Tumor,340_DM,CPT001846,198220490,198220490,140,27905906807,27905906807,27609256527,27609256527,27136268334,27136268334,41319645475,41319645475
Normal,340_DN,CPT001846,239201788,239201788,140,33605985516,33605985516,33293067375,33293067375,32694156013,32694156013,49788869539,49788869539
